 - "A total of %1 Promo&#x20;Message&#x20;Lists have been deleted.","A total of %1 Promo&#x20;Message&#x20;Lists have been deleted."
 - "Add New Promo&#x20;Message&#x20;List","Add New Promo&#x20;Message&#x20;List"
 - "An error occurred while deleting Promo&#x20;Message&#x20;Lists.","An error occurred while deleting Promo&#x20;Message&#x20;Lists."
 - "Are you sure you wan't to delete selected Promo&#x20;Message&#x20;Lists?","Are you sure you wan't to delete selected Promo&#x20;Message&#x20;Lists?"
 - "Are you sure you wan\'t to delete the Promo&#x20;Message&#x20;List ""${ $.$data.name }"" ?","Are you sure you wan\'t to delete the Promo&#x20;Message&#x20;List ""${ $.$data.name }"" ?"
 - "Are you sure you want to do this?","Are you sure you want to do this?"
 - "Back","Back"
 - "Could not save the Promo&#x20;Message&#x20;List: %1","Could not save the Promo&#x20;Message&#x20;List: %1"
 - "Create New Promo Message List","Create New Promo Message List"
 - "Created","Created"
 - "Date From","Date From"
 - "Date To","Date To"
 - "Date&#x20;From","Date&#x20;From"
 - "Date&#x20;To","Date&#x20;To"
 - "Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
 - "Delete Promo&#x20;Message&#x20;List","Delete Promo&#x20;Message&#x20;List"
 - "Delete Promo&#x20;Message&#x20;Lists","Delete Promo&#x20;Message&#x20;Lists"
 - "Delete","Delete"
 - "Edit Promo&#x20;Message&#x20;List","Edit Promo&#x20;Message&#x20;List"
 - "Edit","Edit"
 - "ID","ID"
 - "Manage Promo&#x20;Message&#x20;Lists","Manage Promo&#x20;Message&#x20;Lists"
 - "New Promo&#x20;Message&#x20;List","New Promo&#x20;Message&#x20;List"
 - "Please correct the data sent.","Please correct the data sent."
 - "Promo Message Lists","Promo Message Lists"
 - "Promo Message Name","Promo Message Name"
 - "Promo Message","Promo Message"
 - "Promo&#x20;Message","Promo&#x20;Message"
 - "Promo&#x20;Message&#x20;List Information","Promo&#x20;Message&#x20;List Information"
 - "Promo&#x20;Message&#x20;Lists","Promo&#x20;Message&#x20;Lists"
 - "Promo&#x20;Message&#x20;Name","Promo&#x20;Message&#x20;Name"
 - "Requested Promo&#x20;Message&#x20;List doesn\'t exist","Requested Promo&#x20;Message&#x20;List doesn\'t exist"
 - "Reset","Reset"
 - "Save Promo&#x20;Message&#x20;List","Save Promo&#x20;Message&#x20;List"
 - "Save and Continue Edit","Save and Continue Edit"
 - "Something went wrong while saving the Promo&#x20;Message&#x20;List.","Something went wrong while saving the Promo&#x20;Message&#x20;List."
 - "The Promo&#x20;Message&#x20;List has been deleted.","The Promo&#x20;Message&#x20;List has been deleted."
 - "The Promo&#x20;Message&#x20;List no longer exists.","The Promo&#x20;Message&#x20;List no longer exists."
 - "There was a problem deleting the Promo&#x20;Message&#x20;List","There was a problem deleting the Promo&#x20;Message&#x20;List"
 - "There was a problem saving the Promo&#x20;Message&#x20;List","There was a problem saving the Promo&#x20;Message&#x20;List"
 - "Unable to remove Promo&#x20;Message&#x20;List %1","Unable to remove Promo&#x20;Message&#x20;List %1"
 - "Updated","Updated"
 - "We can\'t find a Promo&#x20;Message&#x20;List to delete.","We can\'t find a Promo&#x20;Message&#x20;List to delete."
 - "You saved the Promo&#x20;Message&#x20;List","You saved the Promo&#x20;Message&#x20;List"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Please Select Promo Message Lists.","Please Select Promo Message Lists."
"Promo Message List %1","Promo Message List %1"
"Promo Message List to delete was not found.","Promo Message List to delete was not found."
"Promo Message List","Promo Message List"
"Something went wrong while saving the Promo Message List.","Something went wrong while saving the Promo Message List."
"The Promo Message List has been deleted.","The Promo Message List has been deleted."
"The Promo Message List has been saved.","The Promo Message List has been saved."
"This Promo Message List no longer exists.","This Promo Message List no longer exists."
